"isolate","treatment","variable","mean_value","min_value","max_value","stdev_value","ENR","species","origin","mod_variable"
"10A6","inh",".0625",0.000666666666666667,0,0.001,0.000333333333333333,"No FabV","psychrotolerans","study_isolate",0.0625
"10A6","inh","GC",0.387,0.288,0.545,0.0798394221755978,"No FabV","psychrotolerans","study_isolate",0
"10A6","inh",".25",0.000666666666666667,0,0.001,0.000333333333333333,"No FabV","psychrotolerans","study_isolate",0.25
"114A4","inh","8",0.0323333333333333,0,0.079,0.0239049041923293,"FabV","lurida","study_isolate",8
"114A4","inh","4",0.213333333333333,0.125,0.344,0.0666691666197934,"FabV","lurida","study_isolate",4
"114A4","inh","2",0.361666666666667,0.281,0.426,0.0426471309442708,"FabV","lurida","study_isolate",2
"114A4","con","64",0.354,0.259,0.421,0.0488159809898357,"FabV","lurida","study_isolate",64
"114A4","inh","1",0.445,0.415,0.47,0.0160727512683216,"FabV","lurida","study_isolate",1
"114A4","con","4",0.770333333333333,0.739,0.804,0.0188001182029381,"FabV","lurida","study_isolate",4
"114A4","inh","32",0.006,0.002,0.011,0.00264575131106459,"FabV","lurida","study_isolate",32
"114A4","inh",".5",0.517666666666667,0.483,0.567,0.0253333333333334,"FabV","lurida","study_isolate",0.5
"114A4","con","2",0.844,0.835,0.854,0.00550757054728614,"FabV","lurida","study_isolate",2
"114A4","con","128",0.299666666666667,0.176,0.377,0.062477551524083,"FabV","lurida","study_isolate",128
"114A4","inh","16",0.00133333333333333,0,0.003,0.000881917103688197,"FabV","lurida","study_isolate",16
"114A4","inh",".25",0.529333333333333,0.47,0.617,0.0447375060150255,"FabV","lurida","study_isolate",0.25
"114A4","con","1",0.874333333333333,0.862,0.895,0.0103976493069882,"FabV","lurida","study_isolate",1
"114A4","con","8",0.665,0.591,0.731,0.0406119850947148,"FabV","lurida","study_isolate",8
"114A4","inh","GC",0.565,0.475,0.696,0.0670099495100044,"FabV","lurida","study_isolate",0
"114A4","con",".5",0.886666666666667,0.865,0.918,0.0160450753954117,"FabV","lurida","study_isolate",0.5
"114A4","inh","128",0.0326666666666667,0.021,0.049,0.00841295297608264,"FabV","lurida","study_isolate",128
"114A4","con","32",0.408,0.378,0.426,0.0150996688705415,"FabV","lurida","study_isolate",32
"114A4","con",".25",0.888333333333333,0.824,0.939,0.0338936244414459,"FabV","lurida","study_isolate",0.25
"114A4","inh","64",0.021,0.011,0.029,0.00529150262212918,"FabV","lurida","study_isolate",64
"114A4","con","16",0.473333333333333,0.444,0.494,0.0150702060739431,"FabV","lurida","study_isolate",16
"114A4","con","GC",0.903333333333333,0.819,1.002,0.0533114538454084,"FabV","lurida","study_isolate",0
"115A1","inh","32",0.00966666666666667,0.003,0.015,0.00352766841475279,"No FabV","azotifigens","study_isolate",32
"115A1","con",".25",0.138333333333333,0.033,0.209,0.0536821923711931,"No FabV","azotifigens","study_isolate",0.25
"115A1","con","2",0.011,0.009,0.012,0.001,"No FabV","azotifigens","study_isolate",2
"115A1","con","32",0.000666666666666667,0,0.001,0.000333333333333333,"No FabV","azotifigens","study_isolate",32
"115A1","con","8",0.000666666666666667,0,0.002,0.000666666666666667,"No FabV","azotifigens","study_isolate",8
"115A1","inh","1",0.00266666666666667,0.002,0.003,0.000333333333333333,"No FabV","azotifigens","study_isolate",1
"115A1","inh",".5",0.00266666666666667,0.002,0.003,0.000333333333333333,"No FabV","azotifigens","study_isolate",0.5
"115A1","con","4",0.004,0.001,0.006,0.00152752523165195,"No FabV","azotifigens","study_isolate",4
"115A1","con","1",0.022,0.004,0.032,0.00901849950564579,"No FabV","azotifigens","study_isolate",1
"115A1","inh","GC",0.178,0.006,0.275,0.0862341772926102,"No FabV","azotifigens","study_isolate",0
"115A1","inh","8",0.000333333333333333,0,0.001,0.000333333333333333,"No FabV","azotifigens","study_isolate",8
"115A1","inh","2",0.0166666666666667,0,0.049,0.0161692437808465,"No FabV","azotifigens","study_isolate",2
"115A1","inh","16",0,0,0,0,"No FabV","azotifigens","study_isolate",16
"115A1","inh","4",0.000333333333333333,-0.001,0.002,0.000881917103688197,"No FabV","azotifigens","study_isolate",4
"115A1","inh",".125",0.00266666666666667,0.001,0.005,0.00120185042515466,"No FabV","azotifigens","study_isolate",0.125
"115A1","con",".5",0.056,0.004,0.102,0.0284487843911358,"No FabV","azotifigens","study_isolate",0.5
"115A1","inh",".0625",0.00233333333333333,0.002,0.003,0.000333333333333333,"No FabV","azotifigens","study_isolate",0.0625
"115A1","con","GC",0.339,0.255,0.495,0.0780768851837726,"No FabV","azotifigens","study_isolate",0
"115A1","con","16",-0.000333333333333333,-0.001,0,0.000333333333333333,"No FabV","azotifigens","study_isolate",16
"115A1","con",".0625",0.338666666666667,0.304,0.368,0.0186666666666667,"No FabV","azotifigens","study_isolate",0.0625
"115A1","inh",".25",0.00233333333333333,0.002,0.003,0.000333333333333333,"No FabV","azotifigens","study_isolate",0.25
"115A1","con",".125",0.256,0.187,0.304,0.0353694783676548,"No FabV","azotifigens","study_isolate",0.125
"119A3","inh","32",0.023,0.018,0.028,0.00288675134594813,"No FabV","japonica","study_isolate",32
"119A3","inh",".5",0.005,0.001,0.011,0.00305505046330389,"No FabV","japonica","study_isolate",0.5
"119A3","con",".25",0.0716666666666667,0.043,0.103,0.0173717522943938,"No FabV","japonica","study_isolate",0.25
"119A3","con","4",0.002,0,0.003,0.001,"No FabV","japonica","study_isolate",4
"119A3","inh","GC",0.00633333333333333,0.006,0.007,0.000333333333333333,"No FabV","japonica","study_isolate",0
"119A3","con","8",0.00133333333333333,0,0.002,0.000666666666666667,"No FabV","japonica","study_isolate",8
"119A3","inh","2",0.003,0.001,0.005,0.00115470053837925,"No FabV","japonica","study_isolate",2
"119A3","con","32",0.00166666666666667,0.001,0.002,0.000333333333333333,"No FabV","japonica","study_isolate",32
"119A3","inh","4",0.00233333333333333,0.002,0.003,0.000333333333333333,"No FabV","japonica","study_isolate",4
"119A3","inh","1",0.00433333333333333,0.003,0.006,0.000881917103688197,"No FabV","japonica","study_isolate",1
"119A3","con",".5",0.00633333333333333,0.005,0.009,0.00133333333333333,"No FabV","japonica","study_isolate",0.5
"119A3","inh",".0625",0.00233333333333333,0,0.004,0.00120185042515466,"No FabV","japonica","study_isolate",0.0625
"119A3","con","1",0.00466666666666667,0.004,0.005,0.000333333333333333,"No FabV","japonica","study_isolate",1
"119A3","inh","8",-0.000333333333333333,-0.001,0,0.000333333333333333,"No FabV","japonica","study_isolate",8
"119A3","con",".0625",0.394333333333333,0.367,0.434,0.0203005199714468,"No FabV","japonica","study_isolate",0.0625
"119A3","con",".125",0.245333333333333,0.217,0.282,0.0192209376577847,"No FabV","japonica","study_isolate",0.125
"119A3","inh",".125",0.00266666666666667,0.001,0.005,0.00120185042515466,"No FabV","japonica","study_isolate",0.125
"119A3","con","2",0.00633333333333333,0.005,0.008,0.000881917103688197,"No FabV","japonica","study_isolate",2
"119A3","inh","16",0,-0.001,0.001,0.000577350269189626,"No FabV","japonica","study_isolate",16
"119A3","con","GC",0.592333333333333,0.56,0.637,0.0230675337023946,"No FabV","japonica","study_isolate",0
"119A3","con","16",0.00233333333333333,0,0.007,0.00233333333333333,"No FabV","japonica","study_isolate",16
"119A3","inh",".25",0.004,0.003,0.005,0.000577350269189626,"No FabV","japonica","study_isolate",0.25
"20A1","inh","64",0.0363333333333333,0.027,0.047,0.00581186525805423,"FabV","capeferrum","study_isolate",64
"20A1","inh","128",0.0593333333333333,0.019,0.129,0.0349777707186213,"FabV","capeferrum","study_isolate",128
"20A1","con","32",0.246666666666667,0.002,0.387,0.122773956702733,"FabV","capeferrum","study_isolate",32
"20A1","con","2",0.759666666666667,0.706,0.805,0.028880981823877,"FabV","capeferrum","study_isolate",2
"20A1","con",".5",0.774333333333333,0.75,0.813,0.0195476625485276,"FabV","capeferrum","study_isolate",0.5
"20A1","con","GC",0.837333333333333,0.768,0.885,0.0354698620114473,"FabV","capeferrum","study_isolate",0
"20A1","inh","32",0.01,0.006,0.014,0.0023094010767585,"FabV","capeferrum","study_isolate",32
"20A1","inh","2",0.001,0,0.002,0.000577350269189626,"FabV","capeferrum","study_isolate",2
"20A1","con","64",0.153,0.065,0.308,0.0777367352028628,"FabV","capeferrum","study_isolate",64
"20A1","con","16",0.216666666666667,0.053,0.317,0.0825274365152449,"FabV","capeferrum","study_isolate",16
"20A1","con","1",0.827666666666667,0.768,0.919,0.0463764787125735,"FabV","capeferrum","study_isolate",1
"20A1","con",".25",0.818333333333333,0.794,0.856,0.0190991564677024,"FabV","capeferrum","study_isolate",0.25
"20A1","inh","16",0.000666666666666667,0,0.001,0.000333333333333333,"FabV","capeferrum","study_isolate",16
"20A1","inh","1",0.00166666666666667,0,0.003,0.000881917103688197,"FabV","capeferrum","study_isolate",1
"20A1","inh",".25",0.125666666666667,0.001,0.2,0.062717178224506,"FabV","capeferrum","study_isolate",0.25
"20A1","con","8",0.424,0.364,0.506,0.042442117446392,"FabV","capeferrum","study_isolate",8
